iter	Passed	Remaining
0	84	84771
1	90	44974
2	93	31043
3	96	24128
4	99	19847
5	104	17371
6	107	15297
7	111	13770
8	114	12562
9	118	11704
10	121	10879
11	123	10171
12	126	9572
13	128	9065
14	135	8878
15	137	8474
16	140	8107
17	142	7786
18	145	7503
19	149	7341
20	152	7115
21	155	6910
22	158	6721
23	161	6553
24	163	6394
25	166	6246
26	169	6123
27	172	5993
28	177	5932
29	180	5833
30	183	5724
31	185	5619
32	189	5564
33	192	5481
34	195	5382
35	197	5287
36	199	5197
37	203	5145
38	206	5082
39	208	5008
40	211	4941
41	213	4873
42	217	4838
43	220	4786
44	222	4729
45	225	4669
46	227	4613
47	229	4556
48	233	4531
49	235	4482
50	238	4433
51	240	4390
52	243	4343
53	246	4323
54	249	4283
55	251	4243
56	254	4202
57	256	4162
58	259	4130
59	263	4128
60	266	4097
61	268	4063
62	271	4033
63	274	4009
64	278	3999
65	280	3972
66	282	3940
67	285	3909
68	287	3879
69	290	3865
70	294	3848
71	296	3821
72	298	3796
73	301	3770
74	303	3744
75	307	3733
76	310	3717
77	312	3694
78	315	3673
79	317	3656
80	322	3654
81	324	3633
82	327	3615
83	330	3600
84	336	3618
85	340	3618
86	347	3647
87	354	3678
88	361	3703
89	382	3865
90	391	3914
91	401	3960
92	404	3942
93	406	3919
94	409	3896
95	412	3883
96	414	3861
97	417	3839
98	419	3817
99	421	3795
100	423	3773
101	427	3761
102	429	3741
103	432	3722
104	434	3702
105	436	3681
106	438	3663
107	442	3652
108	445	3638
109	447	3619
110	449	3603
111	452	3584
112	454	3567
113	457	3559
114	460	3544
115	462	3526
116	464	3506
117	466	3490
118	469	3474
119	472	3465
120	478	3476
121	480	3458
122	483	3445
123	485	3431
124	488	3422
125	491	3412
126	494	3396
127	496	3381
128	499	3372
129	502	3362
130	505	3354
131	508	3341
132	510	3325
133	512	3313
134	514	3299
135	518	3290
136	520	3281
137	523	3268
138	525	3253
139	528	3248
140	531	3237
141	534	3227
142	537	3222
143	540	3211
144	542	3197
145	545	3190
146	548	3184
147	552	3178
148	554	3166
149	556	3154
150	560	3152
151	563	3142
152	566	3136
153	568	3125
154	571	3112
155	573	3101
156	576	3093
157	579	3089
158	582	3082
159	585	3071
160	586	3056
161	588	3046
162	591	3034
163	596	3038
164	598	3029
165	600	3018
166	603	3008
167	605	2997
168	607	2987
169	612	2992
170	618	2996
171	621	2991
172	627	2998
173	630	2992
174	633	2985
175	635	2976
176	638	2968
177	642	2967
178	645	2958
179	647	2948
180	649	2938
181	651	2928
182	653	2918
183	657	2914
184	659	2904
185	661	2894
186	663	2884
187	665	2874
188	667	2865
189	670	2858
190	673	2852
191	675	2843
192	677	2834
193	680	2825
194	682	2816
195	685	2813
196	688	2806
197	690	2798
198	693	2790
199	695	2783
200	703	2797
201	708	2799
202	720	2827
203	724	2825
204	727	2821
205	735	2833
206	737	2825
207	740	2818
208	743	2813
209	745	2805
210	749	2802
211	751	2794
212	754	2786
213	756	2778
214	759	2771
215	761	2764
